word,dimension,valence,source_repo,source_file
uneducated,warmth,1,fraser,BWS_annotations.csv
unenterprising,warmth,1,fraser,BWS_annotations.csv
unfair,warmth,1,fraser,BWS_annotations.csv
unforgiving,warmth,1,fraser,BWS_annotations.csv
unfriendly,warmth,1,fraser,BWS_annotations.csv
unhelpful,warmth,1,fraser,BWS_annotations.csv
unimaginative,warmth,1,fraser,BWS_annotations.csv
unintelligent,warmth,1,fraser,BWS_annotations.csv
unkind,warmth,1,fraser,BWS_annotations.csv
unlikable,warmth,1,fraser,BWS_annotations.csv
unmotivated,warmth,1,fraser,BWS_annotations.csv
unperceptive,warmth,1,fraser,BWS_annotations.csv
unpleasant,warmth,1,fraser,BWS_annotations.csv
unpopular,warmth,1,fraser,BWS_annotations.csv
unprejudiced,warmth,1,fraser,BWS_annotations.csv
unreliable,warmth,1,fraser,BWS_annotations.csv
unreserved,warmth,1,fraser,BWS_annotations.csv
unsociable,warmth,1,fraser,BWS_annotations.csv
unsocial,warmth,1,fraser,BWS_annotations.csv
unsupportive,warmth,1,fraser,BWS_annotations.csv
unsympathetic,warmth,1,fraser,BWS_annotations.csv
untroubled,warmth,1,fraser,BWS_annotations.csv
untrustworthy,warmth,1,fraser,BWS_annotations.csv
untruthful,warmth,1,fraser,BWS_annotations.csv
unwavering,warmth,1,fraser,BWS_annotations.csv
unwise,warmth,1,fraser,BWS_annotations.csv
vicious,warmth,1,fraser,BWS_annotations.csv
virtuous,warmth,1,fraser,BWS_annotations.csv
vulnerable,warmth,1,fraser,BWS_annotations.csv
warm,warmth,1,fraser,BWS_annotations.csv
wavering,warmth,1,fraser,BWS_annotations.csv
welcoming,warmth,1,fraser,BWS_annotations.csv
wise,warmth,1,fraser,BWS_annotations.csv
wrong,warmth,1,fraser,BWS_annotations.csv
friendly,sociability,1,sadcat,seed_words_052425.csv
unfriendly,sociability,1,sadcat,seed_words_052425.csv
polite,sociability,1,sadcat,seed_words_052425.csv
impolite,sociability,1,sadcat,seed_words_052425.csv
sociable,sociability,1,sadcat,seed_words_052425.csv
unsociable,sociability,1,sadcat,seed_words_052425.csv
social,sociability,1,sadcat,seed_words_052425.csv
unsocial,sociability,1,sadcat,seed_words_052425.csv
warm,sociability,1,sadcat,seed_words_052425.csv
cold,sociability,1,sadcat,seed_words_052425.csv
outgoing,sociability,1,sadcat,seed_words_052425.csv
shy,sociability,1,sadcat,seed_words_052425.csv
unreserved,sociability,1,sadcat,seed_words_052425.csv
aloof,sociability,1,sadcat,seed_words_052425.csv
welcoming,sociability,1,sadcat,seed_words_052425.csv
rude,sociability,1,sadcat,seed_words_052425.csv
sympathetic,sociability,1,sadcat,seed_words_052425.csv
unsympathetic,sociability,1,sadcat,seed_words_052425.csv
humorous,sociability,1,sadcat,seed_words_052425.csv
boring,sociability,1,sadcat,seed_words_052425.csv
affectionate,sociability,1,sadcat,seed_words_052425.csv
unaffectionate,sociability,1,sadcat,seed_words_052425.csv
agreeable,sociability,1,sadcat,seed_words_052425.csv
disagreeable,sociability,1,sadcat,seed_words_052425.csv
forthcoming,sociability,1,sadcat,seed_words_052425.csv
distant,sociability,1,sadcat,seed_words_052425.csv
funny,sociability,1,sadcat,seed_words_052425.csv
unfunny,sociability,1,sadcat,seed_words_052425.csv
open,sociability,1,sadcat,seed_words_052425.csv
timid,sociability,1,sadcat,seed_words_052425.csv
likable,sociability,1,sadcat,seed_words_052425.csv
unlikable,sociability,1,sadcat,seed_words_052425.csv
pleasant,sociability,1,sadcat,seed_words_052425.csv
unpleasant,sociability,1,sadcat,seed_words_052425.csv
caring,sociability,1,sadcat,seed_words_052425.csv
uncaring,sociability,1,sadcat,seed_words_052425.csv
supportive,sociability,1,sadcat,seed_words_052425.csv
unsupportive,sociability,1,sadcat,seed_words_052425.csv
fair,morality,1,sadcat,seed_words_052425.csv
unfair,morality,1,sadcat,seed_words_052425.csv
moral,morality,1,sadcat,seed_words_052425.csv
immoral,morality,1,sadcat,seed_words_052425.csv
honest,morality,1,sadcat,seed_words_052425.csv
dishonest,morality,1,sadcat,seed_words_052425.csv
sincere,morality,1,sadcat,seed_words_052425.csv
insincere,morality,1,sadcat,seed_words_052425.csv
loyal,morality,1,sadcat,seed_words_052425.csv
disloyal,morality,1,sadcat,seed_words_052425.csv
benevolent,morality,1,sadcat,seed_words_052425.csv
evil,morality,1,sadcat,seed_words_052425.csv
compassionate,morality,1,sadcat,seed_words_052425.csv
brutal,morality,1,sadcat,seed_words_052425.csv
genuine,morality,1,sadcat,seed_words_052425.csv
fake,morality,1,sadcat,seed_words_052425.csv
honorable,morality,1,sadcat,seed_words_052425.csv
corrupt,morality,1,sadcat,seed_words_052425.csv
tolerant,morality,1,sadcat,seed_words_052425.csv
intolerant,morality,1,sadcat,seed_words_052425.csv
virtuous,morality,1,sadcat,seed_words_052425.csv
criminal,morality,1,sadcat,seed_words_052425.csv
unprejudiced,morality,1,sadcat,seed_words_052425.csv
prejudiced,morality,1,sadcat,seed_words_052425.csv
